wavenumber kappa
0.005 0.0
0.005 0.05
0.005 0.1
0.005 0.15
0.005 0.2
0.005 0.25
0.005 0.3
0.005 0.35
0.005 0.4
0.005 0.45
0.005 0.5
0.005 0.55
0.005 0.6
0.005 0.65
0.005 0.7
0.005 0.75
0.005 0.8
0.005 0.85
0.005 0.9
0.005 0.95
0.055 0.0
0.055 0.05
0.055 0.1
0.055 0.15
0.055 0.2
0.055 0.25
0.055 0.3
0.055 0.35
0.055 0.4
0.055 0.45
0.055 0.5
0.055 0.55
0.055 0.6
0.055 0.65
0.055 0.7
0.055 0.75
0.055 0.8
0.055 0.85
0.055 0.9
0.055 0.95
0.105 0.0
0.105 0.05
0.105 0.1
0.105 0.15
0.105 0.2
0.105 0.25
0.105 0.3
0.105 0.35
0.105 0.4
0.105 0.45
0.105 0.5
0.105 0.55
0.105 0.6
0.105 0.65
0.105 0.7
0.105 0.75
0.105 0.8
0.105 0.85
0.105 0.9
0.105 0.95
0.155 0.0
0.155 0.05
0.155 0.1
0.155 0.15
0.155 0.2
0.155 0.25
0.155 0.3
0.155 0.35
0.155 0.4
0.155 0.45
0.155 0.5
0.155 0.55
0.155 0.6
0.155 0.65
0.155 0.7
0.155 0.75
0.155 0.8
0.155 0.85
0.155 0.9
0.155 0.95
0.205 0.0
0.205 0.05
0.205 0.1
0.205 0.15
0.205 0.2
0.205 0.25
0.205 0.3
0.205 0.35
0.205 0.4
0.205 0.45
0.205 0.5
0.205 0.55
0.205 0.6
0.205 0.65
0.205 0.7
0.205 0.75
0.205 0.8
0.205 0.85
0.205 0.9
0.205 0.95
0.255 0.0
0.255 0.05
0.255 0.1
0.255 0.15
0.255 0.2
0.255 0.25
0.255 0.3
0.255 0.35
0.255 0.4
0.255 0.45
0.255 0.5
0.255 0.55
0.255 0.6
0.255 0.65
0.255 0.7
0.255 0.75
0.255 0.8
0.255 0.85
0.255 0.9
0.255 0.95
0.305 0.0
0.305 0.05
0.305 0.1
0.305 0.15
0.305 0.2
0.305 0.25
0.305 0.3
0.305 0.35
0.305 0.4
0.305 0.45
0.305 0.5
0.305 0.55
0.305 0.6
0.305 0.65
